player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Tim Hardaway Jr,Pistons @ Warriors,Warriors,Pistons,2.5,hardrockbet,155.0,2.55,0.3922,156.0,0.3906,-0.4,betmgm,140.0,2.4,0.4167,-156.0,0.6094,46.26,9,7,9
Tyrese Haliburton,Pacers @ Hawks,Hawks,Pacers,3.5,betrivers,110.0,2.1,0.4762,107.0,0.4831,1.45,prizepicks,-118.0,1.8475,0.5413,-107.0,0.5169,-4.5,9,8,9
Ziaire Williams,Nets @ Hornets,Hornets,Nets,4.5,fanduel,-102.0,1.9804,0.5049,107.0,0.4831,-4.33,prizepicks,-118.0,1.8475,0.5413,-107.0,0.5169,-4.5,9,8,9
Dayron Sharpe,Nets @ Hornets,Hornets,Nets,6.5,fanduel,-108.0,1.9259,0.5192,100.0,0.5,-3.71,caesars,-113.0,1.885,0.5305,100.0,0.5,-5.75,8,8,8
Jamal Shead,Wizards @ Raptors,Raptors,Wizards,2.5,draftkings,100.0,2.0,0.5,103.0,0.4926,-1.48,hardrockbet,125.0,2.25,0.4444,-103.0,0.5074,14.16,8,8,8
Josh Green,Nets @ Hornets,Hornets,Nets,2.5,espnbet,-125.0,1.8,0.5556,100.0,0.5,-10.0,fourwinds,120.0,2.2,0.4545,100.0,0.5,10.0,8,8,8
Keon Johnson,Nets @ Hornets,Hornets,Nets,4.5,betparx,130.0,2.3,0.4348,100.0,0.5,15.0,fanduel,120.0,2.2,0.4545,100.0,0.5,10.0,8,7,8
Sam Hauser,Lakers @ Celtics,Celtics,Lakers,3.5,draftkings,110.0,2.1,0.4762,117.0,0.4608,-3.23,betonline,-118.0,1.8475,0.5413,-117.0,0.5392,-0.38,8,6,8
Thomas Bryant,Pacers @ Hawks,Hawks,Pacers,4.5,bovada,-101.0,1.9901,0.5025,110.0,0.4762,-5.23,hardrockbet,105.0,2.05,0.4878,-110.0,0.5238,7.38,8,8,8
Trendon Watford,Nets @ Hornets,Hornets,Nets,3.5,espnbet,100.0,2.0,0.5,-104.0,0.5098,1.96,betmgm,120.0,2.2,0.4545,104.0,0.4902,7.84,8,7,8
Ben Sheppard,Pacers @ Hawks,Hawks,Pacers,2.5,bovada,-102.0,1.9804,0.5049,100.0,0.5,-0.98,prophetexchange,154.0,2.54,0.3937,100.0,0.5,27.0,6,7,7
Cam Thomas,Nets @ Hornets,Hornets,Nets,3.5,caesars,139.0,2.39,0.4184,-102.0,0.5049,20.67,fanduel,-102.0,1.9804,0.5049,102.0,0.495,-1.97,7,7,7
Jalen Wilson,Nets @ Hornets,Hornets,Nets,3.5,bovada,118.0,2.18,0.4587,100.0,0.5,9.0,fanduel,-142.0,1.7042,0.5868,100.0,0.5,-14.79,7,7,7
Mark Williams,Nets @ Hornets,Hornets,Nets,10.5,fourwinds,100.0,2.0,0.5,110.0,0.4762,-4.76,prizepicks,-118.0,1.8475,0.5413,-110.0,0.5238,-3.23,7,7,7
