player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Cole Anthony,Magic @ Bucks,Bucks,Magic,2.5,betrivers,123.0,2.23,0.4484,139.0,0.4184,-6.7,bet365,140.0,2.4,0.4167,-139.0,0.5816,39.58,16,15,16
Draymond Green,Pistons @ Warriors,Warriors,Pistons,6.5,betonline,110.0,2.1,0.4762,126.0,0.4425,-7.07,fanatics,115.0,2.15,0.4651,-126.0,0.5575,19.86,16,14,16
Jayson Tatum,Lakers @ Celtics,Celtics,Lakers,5.5,bet365,115.0,2.15,0.4651,100.0,0.5,7.5,fanduel,116.0,2.16,0.463,100.0,0.5,8.0,16,15,16
Trey Murphy Iii,Pelicans @ Rockets,Rockets,Pelicans,3.5,fanduel,142.0,2.42,0.4132,129.0,0.4367,5.68,betrivers,128.0,2.28,0.4386,-129.0,0.5633,28.43,16,14,16
Dyson Daniels,Pacers @ Hawks,Hawks,Pacers,4.5,hardrockbet,120.0,2.2,0.4545,105.0,0.4878,7.32,draftkings,-105.0,1.9524,0.5122,-105.0,0.5122,0.0,15,14,15
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,2.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,bet365,115.0,2.15,0.4651,100.0,0.5,7.5,14,12,14
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,5.5,bovada,117.0,2.17,0.4608,100.0,0.5,8.5,fanatics,115.0,2.15,0.4651,100.0,0.5,7.5,13,13,14
Jordan Poole,Wizards @ Raptors,Raptors,Wizards,4.5,fanduel,132.0,2.32,0.431,135.0,0.4255,-1.28,fliff,125.0,2.25,0.4444,-135.0,0.5745,29.26,14,13,14
Khris Middleton,Wizards @ Raptors,Raptors,Wizards,3.5,betparx,114.0,2.14,0.4673,100.0,0.5,7.0,bet365,110.0,2.1,0.4762,100.0,0.5,5.0,14,14,14
Miles Bridges,Nets @ Hornets,Hornets,Nets,3.5,fanatics,120.0,2.2,0.4545,100.0,0.5,10.0,espnbet,150.0,2.5,0.4,100.0,0.5,25.0,13,13,14
Pascal Siakam,Pacers @ Hawks,Hawks,Pacers,3.5,draftkings,120.0,2.2,0.4545,-105.0,0.5122,12.68,fanduel,130.0,2.3,0.4348,105.0,0.4878,12.19,14,13,14
Rj Barrett,Wizards @ Raptors,Raptors,Wizards,5.5,hardrockbet,115.0,2.15,0.4651,-141.0,0.5851,25.8,prophetexchange,-111.0,1.9009,0.5261,141.0,0.4149,-21.13,14,13,14
Trae Young,Pacers @ Hawks,Hawks,Pacers,11.5,draftkings,115.0,2.15,0.4651,100.0,0.5,7.5,hardrockbet,105.0,2.05,0.4878,100.0,0.5,2.5,14,14,14
