player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Aj Green,Magic @ Bucks,Bucks,Magic,0.5,bet365,-170.0,1.5882,0.6296,-147.0,0.5951,-5.49,bet365,132.0,2.32,0.431,147.0,0.4049,-6.06,2,1,2
Al Horford,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,-170.0,1.5882,0.6296,-147.0,0.5951,-5.49,bet365,132.0,2.32,0.431,147.0,0.4049,-6.06,2,1,2
Andrew Nembhard,Pacers @ Hawks,Hawks,Pacers,1.5,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,prizepicks,-118.0,1.8475,0.5413,-102.0,0.5049,-6.72,2,2,2
Anthony Black,Magic @ Bucks,Bucks,Magic,1.5,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,bet365,-115.0,1.8696,0.5349,101.0,0.4975,-6.99,2,1,2
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,160.0,2.6,0.3846,177.0,0.361,-6.14,bet365,-220.0,1.4545,0.6875,-177.0,0.639,-7.06,2,1,2
Buddy Hield,Pistons @ Warriors,Warriors,Pistons,0.5,bet365,-235.0,1.4255,0.7015,-193.0,0.6587,-6.1,bet365,175.0,2.75,0.3636,193.0,0.3413,-6.14,2,1,2
Coby White,Bulls @ Heat,Heat,Bulls,1.5,bet365,155.0,2.55,0.3922,169.0,0.3717,-5.22,bet365,-210.0,1.4762,0.6774,-169.0,0.6283,-7.25,2,1,2
Cole Anthony,Magic @ Bucks,Bucks,Magic,1.5,bet365,145.0,2.45,0.4082,157.0,0.3891,-4.67,bet365,-190.0,1.5263,0.6552,-157.0,0.6109,-6.76,2,1,2
Corey Kispert,Wizards @ Raptors,Raptors,Wizards,0.5,bet365,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,prizepicks,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,2,2,2
Dalton Knecht,Lakers @ Celtics,Celtics,Lakers,0.5,bet365,140.0,2.4,0.4167,151.0,0.3984,-4.38,bet365,-180.0,1.5556,0.6428,-151.0,0.6016,-6.42,2,1,2
Damian Lillard,Magic @ Bucks,Bucks,Magic,1.5,bet365,110.0,2.1,0.4762,120.0,0.4545,-4.55,bet365,-140.0,1.7143,0.5833,-120.0,0.5455,-6.48,2,1,2
Dorian Finneysmith,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,180.0,2.8,0.3571,194.0,0.3401,-4.77,bet365,-240.0,1.4167,0.7059,-194.0,0.6598,-6.53,2,1,2
Duncan Robinson,Bulls @ Heat,Heat,Bulls,0.5,hardrockbet,-170.0,1.5882,0.6296,-146.0,0.5935,-5.74,bet365,132.0,2.32,0.431,146.0,0.4065,-5.69,2,1,2
Franz Wagner,Magic @ Bucks,Bucks,Magic,1.5,bet365,105.0,2.05,0.4878,116.0,0.463,-5.08,bet365,-135.0,1.7407,0.5745,-116.0,0.537,-6.52,2,1,2
Gabe Vincent,Lakers @ Celtics,Celtics,Lakers,0.5,hardrockbet,-190.0,1.5263,0.6552,-161.0,0.6169,-5.84,bet365,145.0,2.45,0.4082,161.0,0.3831,-6.14,2,1,2
Gary Payton Ii,Pistons @ Warriors,Warriors,Pistons,1.5,bet365,-105.0,1.9524,0.5122,107.0,0.4831,-5.68,bet365,-125.0,1.8,0.5556,-107.0,0.5169,-6.96,2,1,2
Goga Bitadze,Magic @ Bucks,Bucks,Magic,1.5,bet365,140.0,2.4,0.4167,149.0,0.4016,-3.62,bet365,-180.0,1.5556,0.6428,-149.0,0.5984,-6.91,2,1,2
Haywood Highsmith,Bulls @ Heat,Heat,Bulls,1.5,bet365,125.0,2.25,0.4444,132.0,0.431,-3.02,bet365,-155.0,1.6452,0.6078,-132.0,0.569,-6.39,2,1,2
Jalen Smith,Bulls @ Heat,Heat,Bulls,0.5,hardrockbet,-230.0,1.4348,0.697,-188.0,0.6528,-6.34,bet365,170.0,2.7,0.3704,188.0,0.3472,-6.26,2,1,2
Jalen Wilson,Nets @ Hornets,Hornets,Nets,0.5,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,prizepicks,-118.0,1.8475,0.5413,-102.0,0.5049,-6.72,2,2,2
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,prizepicks,-118.0,1.8475,0.5413,-102.0,0.5049,-6.72,2,2,2
Jonathan Isaac,Magic @ Bucks,Bucks,Magic,1.5,bet365,120.0,2.2,0.4545,127.0,0.4405,-3.09,bet365,-150.0,1.6667,0.6,-127.0,0.5595,-6.75,2,1,2
Jordan Poole,Wizards @ Raptors,Raptors,Wizards,1.5,bet365,105.0,2.05,0.4878,108.0,0.4808,-1.44,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,2,2,2
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,-125.0,1.8,0.5556,-109.0,0.5215,-6.13,bet365,-105.0,1.9524,0.5122,109.0,0.4785,-6.58,2,1,2
Kentavious Caldwellpope,Magic @ Bucks,Bucks,Magic,1.5,bet365,135.0,2.35,0.4255,146.0,0.4065,-4.47,bet365,-175.0,1.5714,0.6364,-146.0,0.5935,-6.74,2,1,2
Keon Johnson,Nets @ Hornets,Hornets,Nets,1.5,prizepicks,-118.0,1.8475,0.5413,-110.0,0.5238,-3.23,bet365,110.0,2.1,0.4762,110.0,0.4762,0.0,2,2,2
Kevin Porter,Magic @ Bucks,Bucks,Magic,1.5,bet365,140.0,2.4,0.4167,151.0,0.3984,-4.38,bet365,-180.0,1.5556,0.6428,-151.0,0.6016,-6.42,2,1,2
Kevon Looney,Pistons @ Warriors,Warriors,Pistons,0.5,bet365,-220.0,1.4545,0.6875,-179.0,0.6416,-6.68,bet365,160.0,2.6,0.3846,179.0,0.3584,-6.82,2,1,2
Kristaps Porzingis,Lakers @ Celtics,Celtics,Lakers,2.5,bet365,-140.0,1.7143,0.5833,-117.0,0.5392,-7.56,bet365,110.0,2.1,0.4762,117.0,0.4608,-3.23,1,2,2
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,0.5,bet365,-230.0,1.4348,0.697,-189.0,0.654,-6.16,bet365,170.0,2.7,0.3704,189.0,0.346,-6.58,2,1,2
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,-165.0,1.6061,0.6226,-144.0,0.5902,-5.21,bet365,130.0,2.3,0.4348,144.0,0.4098,-5.75,2,1,2
Malik Beasley,Pistons @ Warriors,Warriors,Pistons,1.5,bet365,155.0,2.55,0.3922,169.0,0.3717,-5.22,bet365,-210.0,1.4762,0.6774,-169.0,0.6283,-7.25,2,1,2
Moses Moody,Pistons @ Warriors,Warriors,Pistons,1.5,bet365,100.0,2.0,0.5,112.0,0.4717,-5.66,bet365,-130.0,1.7692,0.5652,-112.0,0.5283,-6.53,2,1,2
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,1.5,bet365,135.0,2.35,0.4255,122.0,0.4505,5.87,prizepicks,-118.0,1.8475,0.5413,-122.0,0.5495,1.52,2,2,2
Moussa Diabate,Nets @ Hornets,Hornets,Nets,1.5,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,prizepicks,-118.0,1.8475,0.5413,-102.0,0.5049,-6.72,2,2,2
Myles Turner,Pacers @ Hawks,Hawks,Pacers,2.5,underdog,-118.0,1.8475,0.5413,-106.0,0.5146,-4.93,bet365,100.0,2.0,0.5,106.0,0.4854,-2.92,2,2,2
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,0.5,bet365,-105.0,1.9524,0.5122,107.0,0.4831,-5.68,bet365,-125.0,1.8,0.5556,-107.0,0.5169,-6.96,2,1,2
Taurean Prince,Magic @ Bucks,Bucks,Magic,0.5,bet365,-190.0,1.5263,0.6552,-162.0,0.6183,-5.63,bet365,145.0,2.45,0.4082,162.0,0.3817,-6.48,2,1,2
Tim Hardaway Jr,Pistons @ Warriors,Warriors,Pistons,0.5,bet365,-150.0,1.6667,0.6,-133.0,0.5708,-4.86,bet365,120.0,2.2,0.4545,133.0,0.4292,-5.58,2,1,2
